paper_id,doi,title,title_normalised,authors,year,venue,publisher,volume,issue,pages,abstract,language,document_type,canonical_status,created_at,updated_at
P000001,10.1111/j.1540-5893.2006.00260.x,How Mafias Migrate: The Case of the `Ndrangheta in Northern Italy,how mafias migrate the case of the ndrangheta in northern italy,"Varese, Federico",2006,Law & Society Review,Cambridge University Press,40,2,411-444,,,journal_article,seed_included,2026-04-29,2026-08-29
P000002,10.56687/9781529247145-010,7 Beyond Mafia: Considerations on Criminal Infiltration in the Legal Economy,7 beyond mafia considerations on criminal infiltration in the legal economy,"Nicolazzo, Giovanni",2025,White-Collar and Organizational Crime,Bristol University Press,,,111-124,,,book_chapter,seed_included,2026-04-29,2026-08-29
